,Diretor,Entidade,CPF,Link,Consulta
1,JosRicMonCav,FIEC,NA,"https://web.archive.org/web/20220611012512/http://www.consultasocio.com/q/sa/jose-ricardo-montenegro-cavalcante,http://web.archive.org/web/20220611012643/http://www.consultasocio.com/q/sa/jose-ricardo-montenegro-cavalcante?page=2","http://www.consultasocio.com/q/sa/jose-ricardo-montenegro-cavalcante?page=1,http://www.consultasocio.com/q/sa/jose-ricardo-montenegro-cavalcante?page=2"
2,CarPrad,FIEC,220518,https://web.archive.org/web/20220611011856/http://www.consultasocio.com/q/sa/carlos-prado,http://www.consultasocio.com/q/sa/carlos-prado
3,AndrMontHol,FIEC,NA,https://web.archive.org/web/20220611013401/http://www.consultasocio.com/q/sa/andre-montenegro-de-holanda,http://www.consultasocio.com/q/sa/andre-montenegro-de-holanda
4,RosOlvMed,FIEC,NA,https://web.archive.org/web/20220611132845/http://www.consultasocio.com/q/sa/roseane-oliveira-de-medeiros,http://www.consultasocio.com/q/sa/roseane-oliveira-de-medeiros
5,JaiBell,FIEC,NA,https://web.archive.org/web/20220611133041/http://www.consultasocio.com/q/sa/jaime-bellicanta,http://www.consultasocio.com/q/sa/jaime-bellicanta
6,LFJuEst,FIEC,NA,"https://web.archive.org/web/20220611014100/http://www.consultasocio.com/q/sa/luiz-francisco-juacaba-esteves,https://web.archive.org/web/20220611014224/http://www.consultasocio.com/q/sa/luiz-francisco-juacaba-esteves?page=2","http://www.consultasocio.com/q/sa/luiz-francisco-juacaba-esteves,http://www.consultasocio.com/q/sa/luiz-francisco-juacaba-esteves?page=2"
7,GerMPin,FIEC,NA,https://web.archive.org/web/20220611142646/http://www.consultasocio.com/q/sa/germano-maia-pinto,http://www.consultasocio.com/q/sa/germano-maia-pinto
8,EdGadPF,FIEC,NA,https://web.archive.org/web/20220611133207/http://www.consultasocio.com/q/sa/edgar-gadelha-pereira-filho,http://www.consultasocio.com/q/sa/edgar-gadelha-pereira-filho
9,CaRuAA,FIEC,NA,https://web.archive.org/web/20220611142805/http://www.consultasocio.com/q/sa/carlos-rubens-araujo-alencar,http://www.consultasocio.com/q/sa/carlos-rubens-araujo-alencar
10,PedrAlcRegLim,FIEC,NA,"https://web.archive.org/web/20220611133305/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima,https://web.archive.org/web/20220611133405/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=3,https://web.archive.org/web/20220611133506/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=4,https://web.archive.org/web/20220611133611/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=5,https://web.archive.org/web/20220611133811/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=6,https://web.archive.org/web/20220611133906/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=7,https://web.archive.org/web/20220611134006/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=9,https://web.archive.org/web/20220611134110/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=10,https://web.archive.org/web/20220611134220/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=11,https://web.archive.org/web/20220611134316/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=12,https://web.archive.org/web/20220611134409/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=13,https://web.archive.org/web/20220611142914/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=2,https://web.archive.org/web/20220611143106/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=8,https://web.archive.org/web/20220611143207/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=14,https://web.archive.org/web/20220611143304/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=15,https://web.archive.org/web/20220611143424/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=16,https://web.archive.org/web/20220611143605/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=17,https://web.archive.org/web/20220611143805/http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=18","http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=2,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=3,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=4,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=5,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=6,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=7,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=8,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=9,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=10,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=11,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=12,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=13,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=14,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=15,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=16,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=17,http://www.consultasocio.com/q/sa/pedro-alcantara-rego-de-lima?page=18"
