"","N_Emp","Maior_n_Func","Maior_Fat","KSoc","Transf","Comerc","Nordeste","Serv","Constr","Norte","Agr","Centro-Oeste","Sudeste","Extr","Sul","Infra","Entidade"
"FIEC1","2 a 5 Emp","20-99 Func","Até 2,4M Fat",NA,"y","y","y","n","n","n","n","n","n","n","n","n","FIEC"
"FIEC2","2 a 5 Emp","Até 19 Func","Até 240k Fat","100k a 1M KSoc","y","n","y","y","n","n","n","n","n","n","n","n","FIEC"
"FIEC3","5 a 10 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","n","y","y","y","y","n","n","n","n","n","n","n","FIEC"
"FIEC4","2 a 5 Emp","Até 19 Func","Até 240k Fat","100k a 1M KSoc","y","y","y","n","n","n","n","n","n","n","n","n","FIEC"
"FIEC5","Mais de 10 Emp","Mais de 200 Func","De 30 a 50M Fat","1M a 10M KSoc","n","n","y","y","y","y","n","n","n","n","n","n","FIEC"
"FIEC6","5 a 10 Emp","100-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","n","y","y","n","n","y","y","y","n","n","n","FIEC"
"FIEC7","2 a 5 Emp","Até 9 Func","Até 240k Fat",NA,"n","y","n","n","n","n","n","n","y","n","n","n","FIEC"
"FIEC8","2 a 5 Emp","100-199 Func","De 2,4 a 5M Fat","100k a 1M KSoc","y","n","y","n","n","n","y","n","n","n","n","n","FIEC"
"FIEC9","5 a 10 Emp","100-199 Func","De 5 a 10M Fat","1M a 10M KSoc","y","y","y","n","n","y","n","n","n","n","n","n","FIEC"
"FIEC10","2 a 5 Emp","100-199 Func","De 5 a 10M Fat","1M a 10M KSoc","y","n","y","n","n","n","n","n","n","n","n","n","FIEC"
"FIEC11","2 a 5 Emp","Até 19 Func","Até 240k Fat","100k a 1M KSoc","y","n","y","n","n","n","n","n","n","n","n","n","FIEC"
"FIEC12","2 a 5 Emp","20-99 Func","Até 2,4M Fat","100k a 1M KSoc","y","n","y","n","n","n","y","n","n","n","n","n","FIEC"
"FIEC13","2 a 5 Emp","100-199 Func","De 5 a 10M Fat","100k a 1M KSoc","y","n","y","y","n","y","n","n","n","n","n","n","FIEC"
"FIEC14","2 a 5 Emp","Até 19 Func","Até 240k Fat","Até 100k KSoc","y","n","y","y","n","n","n","n","n","n","n","n","FIEC"
"FIEC15","2 a 5 Emp","20-99 Func","Até 2,4M Fat","100k a 1M KSoc","y","y","y","y","n","n","n","n","n","n","n","n","FIEC"
"FIEC16","5 a 10 Emp","50-199 Func","De 2,4 a 5M Fat","100k a 1M KSoc","n","n","y","y","y","n","y","n","n","y","n","n","FIEC"
"FIEC17","2 a 5 Emp","Até 19 Func","Até 240k Fat","100k a 1M KSoc","y","y","y","n","n","n","n","n","n","n","n","n","FIEC"
"FIEC18","Mais de 10 Emp","20-99 Func","Até 2,4M Fat","1M a 10M KSoc","y","y","y","y","n","y","n","n","n","n","n","n","FIEC"
"FIEC19","Até 1 Emp","10-49 Func","Até 2,4M Fat","100k a 1M KSoc","n","n","y","y","n","n","n","n","n","n","n","n","FIEC"
"FIEC20","Mais de 10 Emp","100-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","y","y","y","y","n","n","n","y","n","n","n","FIEC"
"FIEC21","2 a 5 Emp","10-49 Func","Até 2,4M Fat","Até 100k KSoc","y","n","y","y","n","n","n","n","n","n","n","n","FIEC"
"FIEC22","Mais de 10 Emp","100-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","n","y","y","y","n","n","n","n","n","n","n","FIEC"
"FIEC23","5 a 10 Emp","50-199 Func","De 2,4 a 5M Fat","100k a 1M KSoc","y","n","y","y","n","n","n","n","n","n","n","n","FIEC"
"FIEC24","5 a 10 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","y","y","y","y","y","n","n","n","n","n","n","n","FIEC"
"FIEC25","Mais de 10 Emp","Mais de 200 Func","Mais de 100M Fat","Mais de 100M KSoc","y","y","y","y","n","y","y","y","y","n","y","n","FIEC"
"FIEC26","Até 1 Emp","Até 9 Func","Até 240k Fat",NA,"n","n","y","y","n","n","n","n","n","n","n","n","FIEC"
"FIEC27","2 a 5 Emp","100-199 Func","De 5 a 10M Fat","1M a 10M KSoc","y","n","y","y","n","n","n","n","n","n","n","n","FIEC"
"FIEC28","5 a 10 Emp","50-199 Func","De 5 a 10M Fat","100k a 1M KSoc","y","y","y","y","n","n","n","n","n","n","n","n","FIEC"
"FIEC29","Até 1 Emp","Mais de 200 Func","De 30 a 50M Fat",NA,"y","n","y","n","n","n","n","n","n","n","n","n","FIEC"
"FIEC30","5 a 10 Emp","100-199 Func","De 5 a 10M Fat",NA,"y","y","y","y","n","n","n","n","n","n","y","n","FIEC"
