"","N_Emp","Maior_n_Func","Maior_Fat","KSoc","Transf","Serv","Comerc","Constr","Sul","Infra","Sudeste","Nordeste","Centro-Oeste","Norte","Agr","Extr","Entidade"
"FIESC1","2 a 5 Emp","100-199 Func","De 5 a 10M Fat","10M a 100M KSoc","y","y","y","y","y","n","n","n","n","n","n","n","FIESC"
"FIESC2","Mais de 10 Emp","100-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","y","y","n","y","y","y","y","y","y","n","n","FIESC"
"FIESC3","Mais de 10 Emp","100-199 Func","De 5 a 10M Fat","10M a 100M KSoc","n","y","n","y","y","y","n","n","n","n","n","n","FIESC"
"FIESC4","2 a 5 Emp","Até 19 Func","Até 240k Fat","Até 100k KSoc","y","n","y","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC5","Até 1 Emp",NA,NA,"100k a 1M KSoc","n","y","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC6","2 a 5 Emp","Até 19 Func","Até 240k Fat","100k a 1M KSoc","y","y","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC7","Mais de 10 Emp","Mais de 200 Func","De 50 a 100M Fat","10M a 100M KSoc","y","y","y","n","y","n","n","n","y","n","y","n","FIESC"
"FIESC8","5 a 10 Emp","100-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","y","y","n","y","n","n","y","n","n","n","n","FIESC"
"FIESC9","Até 1 Emp","20-99 Func","Até 2,4M Fat","100k a 1M KSoc","y","n","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC10","2 a 5 Emp","10-49 Func","Até 2,4M Fat","Até 100k KSoc","y","y","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC11","5 a 10 Emp","Mais de 200 Func",NA,"Mais de 100M KSoc","y","y","y","n","y","n","y","n","n","n","n","n","FIESC"
"FIESC12","2 a 5 Emp","100-199 Func","De 10 a 30M Fat","Até 100k KSoc","y","y","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC13","5 a 10 Emp","Mais de 200 Func","De 2,4 a 5M Fat","10M a 100M KSoc","y","y","y","n","y","n","y","n","n","y","n","n","FIESC"
"FIESC14","Mais de 10 Emp","Mais de 200 Func","De 2,4 a 5M Fat","Mais de 100M KSoc","y","y","y","n","y","n","y","y","y","y","y","n","FIESC"
"FIESC15","5 a 10 Emp","Mais de 200 Func","De 50 a 100M Fat","10M a 100M KSoc","y","y","y","n","y","n","y","n","n","n","n","n","FIESC"
"FIESC16","2 a 5 Emp","Mais de 200 Func","De 10 a 30M Fat","10M a 100M KSoc","y","y","y","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC17","5 a 10 Emp","50-199 Func","De 5 a 10M Fat","100k a 1M KSoc","y","y","y","y","y","n","n","n","n","n","n","n","FIESC"
"FIESC18","2 a 5 Emp","100-199 Func","De 5 a 10M Fat",NA,"y","y","n","n","y","n","n","n","n","n","y","n","FIESC"
"FIESC19","Até 1 Emp",NA,NA,"Até 100k KSoc","n","y","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC20","Mais de 10 Emp","100-199 Func","De 2,4 a 5M Fat","10M a 100M KSoc","y","y","y","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC21","Mais de 10 Emp","100-199 Func","De 5 a 10M Fat","1M a 10M KSoc","y","y","y","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC22","2 a 5 Emp","100-199 Func","De 2,4 a 5M Fat","1M a 10M KSoc","n","y","n","y","y","n","n","n","n","n","n","n","FIESC"
"FIESC23","Até 1 Emp","20-99 Func","Até 2,4M Fat","Até 100k KSoc","n","n","n","y","y","n","n","n","n","n","n","n","FIESC"
"FIESC24","Mais de 10 Emp","Mais de 200 Func","De 10 a 30M Fat","Mais de 100M KSoc","y","y","y","n","y","n","y","n","n","n","n","n","FIESC"
"FIESC25","2 a 5 Emp","10-49 Func","Até 2,4M Fat","1M a 10M KSoc","n","y","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC26","Até 1 Emp","100-199 Func","De 2,4 a 5M Fat","100k a 1M KSoc","y","n","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC27","2 a 5 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","n","y","n","y","y","n","n","n","n","n","n","n","FIESC"
"FIESC28","5 a 10 Emp","Mais de 200 Func","De 50 a 100M Fat","10M a 100M KSoc","y","n","n","n","y","y","n","n","n","n","y","n","FIESC"
"FIESC29","2 a 5 Emp","20-99 Func","Até 2,4M Fat",NA,"y","n","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC30","Mais de 10 Emp","Mais de 200 Func","De 30 a 50M Fat","Mais de 100M KSoc","y","y","y","n","y","y","n","n","y","n","y","n","FIESC"
"FIESC31","2 a 5 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","y","y","n","n","y","n","n","n","n","y","n","n","FIESC"
"FIESC32","2 a 5 Emp","Mais de 200 Func","De 10 a 30M Fat","10M a 100M KSoc","n","y","n","y","y","n","n","n","n","n","n","n","FIESC"
"FIESC33","5 a 10 Emp","100-199 Func","De 2,4 a 5M Fat","1M a 10M KSoc","n","n","n","y","y","n","n","n","n","n","n","n","FIESC"
"FIESC34","2 a 5 Emp","20-99 Func","Até 2,4M Fat",NA,"y","y","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC35","Mais de 10 Emp","100-199 Func","De 5 a 10M Fat","1M a 10M KSoc","n","n","n","y","y","n","n","n","n","n","n","n","FIESC"
"FIESC36","Até 1 Emp","20-99 Func","Até 2,4M Fat","Até 100k KSoc","y","n","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC37","Até 1 Emp",NA,NA,"Até 100k KSoc","n","y","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC38","2 a 5 Emp","Até 19 Func",NA,"1M a 10M KSoc","y","y","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC39","Mais de 10 Emp","Mais de 200 Func","Até 240k Fat",NA,"y","y","y","n","y","n","y","y","y","y","y","n","FIESC"
"FIESC40","2 a 5 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","y","y","n","n","y","n","n","n","n","n","n","n","FIESC"
"FIESC41","Mais de 10 Emp","50-199 Func","De 2,4 a 5M Fat","Mais de 100M KSoc","n","y","y","y","y","n","y","n","n","n","n","n","FIESC"
"FIESC42","Mais de 10 Emp","Mais de 200 Func","De 30 a 50M Fat","Mais de 100M KSoc","y","y","n","y","y","n","n","n","n","y","n","n","FIESC"
"FIESC43","Mais de 10 Emp","100-199 Func","De 10 a 30M Fat","Mais de 100M KSoc","n","n","n","y","y","n","n","n","n","n","n","n","FIESC"
